team,player,position,matches_sample,minutes_avg_l5,goals90_avg_l5,shots90_avg_l5,sot90_avg_l5,xg_avg_l5,xa_avg_l5,last_match_date,data_quality
Algeria,Houssem AOUAR,,1,,0.0,2.0,1.0,,,2026-07-02,thin
Algeria,Fares CHAIBI,,1,,0.0,1.0,1.0,,,2026-07-02,thin
Algeria,Ibrahim MAZA,,1,,0.0,3.0,0.0,,,2026-07-02,thin
Algeria,Jaouen HADJAM,,1,,0.0,1.0,0.0,,,2026-07-02,thin
Algeria,Riyad MAHREZ,,1,,0.0,1.0,0.0,,,2026-07-02,thin
Argentina,Lionel MESSI,,3,,0.6666666666666666,3.6666666666666665,2.3333333333333335,,,2026-07-11,medium
Argentina,Enzo FERNANDEZ,,2,,0.5,2.0,1.0,,,2026-07-07,medium
Argentina,Rodrigo DE PAUL,,1,,0.0,1.0,1.0,,,2026-07-07,thin
Argentina,Alexis MAC ALLISTER,,3,,0.3333333333333333,2.6666666666666665,0.6666666666666666,,,2026-07-11,medium
Argentina,Cristian ROMERO,,2,,0.5,0.5,0.5,,,2026-07-11,medium
Argentina,Julian ALVAREZ,,3,,0.0,1.0,0.3333333333333333,,,2026-07-11,medium
Argentina,Lautaro MARTINEZ,,2,,0.0,2.0,0.0,,,2026-07-11,medium
Argentina,Nico GONZALEZ,,2,,0.0,1.5,0.0,,,2026-07-11,medium
Argentina,Leandro PAREDES,,2,,0.0,1.0,0.0,,,2026-07-07,medium
Argentina,Nahuel MOLINA,,1,,0.0,1.0,0.0,,,2026-07-11,thin
Argentina,Lisandro MARTINEZ,,3,,0.0,0.3333333333333333,0.0,,,2026-07-11,medium
Argentina,Cristian ROMERO Deflected,,1,,0.0,0.0,0.0,,,2026-07-03,thin
Argentina,Gonzalo MONTIEL,,1,,0.0,0.0,0.0,,,2026-07-03,thin
Argentina,Lionel MESSI Deflected,,1,,0.0,0.0,0.0,,,2026-07-03,thin
Argentina,Thiago ALMADA,,1,,0.0,0.0,0.0,,,2026-07-11,thin
Australia,Aziz BEHICH,,1,,0.0,1.0,1.0,,,2026-07-03,thin
Australia,Nestory IRANKUNDA Deflected,,1,,0.0,1.0,1.0,,,2026-07-03,thin
Australia,Ajdin HRUSTIC,,1,,0.0,2.0,0.0,,,2026-07-03,thin
Australia,Connor METCALFE,,1,,0.0,2.0,0.0,,,2026-07-03,thin
Australia,Cristian VOLPATO,,1,,0.0,2.0,0.0,,,2026-07-03,thin
Australia,Aiden ONEILL,,1,,0.0,1.0,0.0,,,2026-07-03,thin
Australia,Jackson IRVINE,,1,,0.0,1.0,0.0,,,2026-07-03,thin
Australia,Kai TREWIN,,1,,0.0,1.0,0.0,,,2026-07-03,thin
Australia,Nestory IRANKUNDA,,1,,0.0,1.0,0.0,,,2026-07-03,thin
Australia,Alessandro CIRCATI,,1,,0.0,0.0,0.0,,,2026-07-03,thin
Australia,Awer MABIL,,1,,0.0,0.0,0.0,,,2026-07-03,thin
Australia,Mohamed TOURE,,1,,0.0,0.0,0.0,,,2026-07-03,thin
Austria,Carney CHUKWUEMEKA,,1,,0.0,1.0,0.0,,,2026-07-02,thin
Austria,David ALABA,,1,,0.0,1.0,0.0,,,2026-07-02,thin
Austria,Nicolas SEIWALD,,1,,0.0,1.0,0.0,,,2026-07-02,thin
Austria,Sasa KALAJDZIC,,1,,0.0,1.0,0.0,,,2026-07-02,thin
Austria,Stefan POSCH,,1,,0.0,1.0,0.0,,,2026-07-02,thin
Belgium,Charles DE KETELAERE,,3,,1.0,2.0,1.3333333333333333,,,2026-07-10,medium
Belgium,Charles DE KETELAERE Deflected,,1,,1.0,1.0,1.0,,,2026-07-06,thin
Belgium,Hans VANAKEN Deflected,,1,,1.0,1.0,1.0,,,2026-07-06,thin
Belgium,Romelu LUKAKU,,2,,1.0,1.0,1.0,,,2026-07-06,medium
Belgium,Kevin DE BRUYNE,,3,,0.0,2.0,0.6666666666666666,,,2026-07-10,medium
Belgium,Leandro TROSSARD,,2,,0.0,2.5,0.5,,,2026-07-06,medium
Belgium,Youri TIELEMANS,,2,,0.5,2.5,0.5,,,2026-07-06,medium
Belgium,Timothy CASTAGNE,,2,,0.0,1.0,0.5,,,2026-07-06,medium
Belgium,Nicolas RASKIN,,2,,0.0,0.5,0.5,,,2026-07-06,medium
Belgium,Maxim DE CUYPER,,3,,0.0,1.3333333333333333,0.3333333333333333,,,2026-07-10,medium
Belgium,Dodi LUKEBAKIO,,2,,0.0,2.5,0.0,,,2026-07-06,medium
Belgium,Arthur THEATE,,1,,0.0,1.0,0.0,,,2026-07-01,thin
Belgium,Brandon MECHELE,,1,,0.0,1.0,0.0,,,2026-07-01,thin
Belgium,Thomas MEUNIER,,1,,0.0,0.0,0.0,,,2026-07-01,thin
Bosnia and Herzegovina,Ermedin DEMIROVIC,,1,,0.0,1.0,1.0,,,2026-07-01,thin
Bosnia and Herzegovina,Ermedin DEMIROVIC Deflected,,1,,0.0,1.0,1.0,,,2026-07-01,thin
Bosnia and Herzegovina,Esmir BAJRAKTAREVIC,,1,,0.0,1.0,1.0,,,2026-07-01,thin
Bosnia and Herzegovina,Ermin MAHMIC,,1,,0.0,2.0,0.0,,,2026-07-01,thin
Bosnia and Herzegovina,Kerim ALAJBEGOVIC,,1,,0.0,2.0,0.0,,,2026-07-01,thin
Bosnia and Herzegovina,Amar DEDIC,,1,,0.0,1.0,0.0,,,2026-07-01,thin
Bosnia and Herzegovina,Amar MEMIC,,1,,0.0,1.0,0.0,,,2026-07-01,thin
Bosnia and Herzegovina,Nikola KATIC,,1,,0.0,1.0,0.0,,,2026-07-01,thin
Brazil,VINICIUS JUNIOR,,2,,0.0,2.5,1.5,,,2026-07-05,medium
Brazil,BRUNO GUIMARAES,,2,,0.0,3.0,1.0,,,2026-07-05,medium
Brazil,GABRIEL MARTINELLI,,1,,1.0,2.0,1.0,,,2026-06-29,thin
Brazil,NEYMAR JR,,1,,1.0,2.0,1.0,,,2026-07-05,thin
Brazil,CASEMIRO,,2,,1.0,1.5,1.0,,,2026-07-05,medium
Brazil,RAYAN Deflected,,1,,0.0,1.0,1.0,,,2026-07-05,thin
Brazil,MATHEUS CUNHA,,2,,0.0,2.0,0.5,,,2026-07-05,medium
Brazil,LUCAS PAQUETA,,1,,0.0,2.0,0.0,,,2026-06-29,thin
Brazil,ENDRICK,,2,,0.0,1.5,0.0,,,2026-07-05,medium
Brazil,DANILO,,1,,0.0,1.0,0.0,,,2026-07-05,thin
Brazil,EDERSON SILVA,,1,,0.0,1.0,0.0,,,2026-07-05,thin
Brazil,FABINHO,,1,,0.0,1.0,0.0,,,2026-06-29,thin
Brazil,RAYAN,,2,,0.0,1.0,0.0,,,2026-07-05,medium
